"id_cliente","cliente","persona","direccion","ciudad","telefono","correo_electronico"
"800172353","HOTEL LAURELES 70","Persona Jurídica","CIRC 5A 70 -15","Medellín","4112828",
"800182713","EDIFICIO SANTA COLOMA P.H","Persona Jurídica","Cr 64 36 15","Medellín","2658259","tesoreria@admonyasesorias.com"
"800233841","HOTEL BOSTON LTDA","Persona Jurídica","CL 25 B 31 14","Sincelejo","2804022",
"800250299","EDIFICIO BALCONES DE PADUA PH","Persona Jurídica","CL 6 25 125","Medellín","3112862",
"800250763","SEA BOARD DE COLOMBIA S.A.","Persona Jurídica","CR 12 79-43 OF 701","Bogotá","3130513",
"900990493","CONJUNTO RESIDENCIAL TIROL II - P H","Persona Juridica","Cl 66 103 B 15","Medellin","3003260834","conjuntoresidencialtirol2@gmail.com"
"805005633","HOTEL DON JAIME","Persona Jurídica","AV 6 NORTE 15N 25","Cali","6672828",
"805029991","HOTEL VALDIVIA PLAZA CIA LTDA","Persona Jurídica","CL 44 4N 138","Cali","6550345","mtvega@uniweb.net.co"
"811001813","CONJUNTO RESIDENCIAL CIUDADELA REAL P.H.","Persona Jurídica","CL 48 C SUR 43 A 50","Envigado","3329078","crciudadelareal@yahoo.es"
"811002696","VILANOA  APARTAMENTOS  P.H. ","Persona Jurídica","CL 23 SUR 28 49","Sabaneta","3172040","vilanova2849@gmail.com"
"811002999","EDIFICIO TORRES DE HUNGRIA P.H","Persona Jurídica","CR 34 16 A SUR 37","Medellín","3132702","aymacosas@gmail.com"
"811004177","EDIFICIO TIERRALTA P.H.","Persona Jurídica","cl 18 sur 25 c 21","Medellín","3173039","tesoreria@admonyasesorias.com"
"811005332","EDIFICIO SAN MARTHIN PH","Persona Jurídica","CR 4 16A SUR 14","Medellín","2682429","nora1002@hotmail.com"
"811005504","URBANIZACION PARQUES SANTA CATALINA P.H","Persona Jurídica","CL 75 SUR 52 101","Itagüí","3095316","parquessantacatalina@gmail.com"
"811006259","CENTRO COMERCIAL CAMPESTRE DRIVE IN","Persona Jurídica","CL 16A SUR 32B 38","Medellín","3136577",
"811007098","EDIFICIO CAYARU","Persona Jurídica","CL 16 A SUR 34 41","Medellín","1234567","tesoreria@admonyasesorias.com"
"811019381","EDIFICIO SAN GIORGIO 2 P.H.","Persona Jurídica","CR 37 18 SUR 33","Medellín","2669327","edificiosangiorgio2@hotmail.com"
"811026034","EDIFICIO GUADALUPE","Persona Jurídica","Cl 7 25 177","Medellín","1234567","cordobaarangoasistente@gmail.com"
"811027400","EDIFICIO SANTO TOMAS PH","Persona Jurídica","CR 82B 33 B 51","Medellín","2507558","carteradysam@gmail.com"
"811030881","URBANIZACION CANTA PIEDRA P.H","Persona Jurídica","CL 21 SUR 41","Envigado","5803483","cantapiedraph@gmail.com"
"811031035","CONJUNTO RESIDENCIAL CONDOMINIO SANTA CLARA P.H.","Persona Jurídica","CL 7 B 27 30","Medellín","3524873","consueloorozco@clburbanistica.com"
"811033278","URBANIZACION REFUGIO DE VILLA VERDE","Persona Jurídica","Cl 39 Sur 25 B 130","Medellín","3327560","refugiodevillaverde.ph@gmail.com"
"811033475","EDIFICIO BOSQUES DE SANTIAGO PH","Persona Jurídica","CL 18A SUR 22 115","Medellín","3212127","compras@abelardoyepes.com"
"811034872","EDIFICIO PIEDRA AZUL","Persona Jurídica","Calle 35 # 64 A - 55","Medellín","2355545","tesoreria@admonyasesorias.com"
"811034918","URBANIZACION LA ESTANCIA PH","Persona Jurídica","Cl  3 3B-60","Medellín","4481557","tesoreria@admonyasesorias.com"
"811043645","CONJUNTO FLORES DE LA COLINA 3 ETAPA","Persona Jurídica","CR 43A 15 SUR 15","Medellín","3333333","floresdelacolina3@gmail.com"
"811045291","EDIFICIO TORREON DEL PARQUE PH","Persona Jurídica","CL 48 80 84","Medellín","3007578412","torreodelparque@gmail.com"
"811045854","EDIFICIO ""TORRE PRAVIA"" -P.H.-","Persona Jurídica","CL 12 31 217","Medellín","3003255858","edificiopraviaph@gmail.com"
"811046096","URBANIZACION PIE DEL BOSQUE P.H.","Persona Jurídica","CL 6 A CR 18 60","Medellín","3524385","admonpiedelbosque@gmail.com"
"811046965","CONJUNTO RESIDENCIAL QUINTAS DEL CEDRO P.H.","Persona Jurídica","CL 6 18 129","Medellín","4480785","tesoreria@admonyasesorias.com"
"890918210","EDIFICIO BAHIA ETAPA B P.H","Persona Jurídica","CR 65 42 127","Medellín","6042305454",
"890934478","CONJUNTO RESIDENCIAL LA CONCHA ETAPA 2","Persona Jurídica","CL 10 28 78","Medellín","3184722255","cordobaarango8@gmail.com"
"890937478","EDIFICIO EL AVILA P.H","Persona Jurídica","CR 44 21 SUR 100","Envigado","2704265","comprascrismatt@gmail.com"
"890938413","EDIFICIO CENTRO SANTILLANA P.H.","Persona Jurídica","CR 43 A 1 SUR 143","Medellín","2665256","asistentesantillana@mts.com.co"
"890938789","CONJUNTO RESIDENCIAL ""CRUCERO DEL SUR"" - P.H.-","Persona Jurídica","CL 12 SUR 43 A 255","Medellín","3136575","crucerodelsur1@gmail.com"
"890938799","CONJUNTO RESIDENCIAL ALTOS DE TORRE MOLINOS","Persona Jurídica","Cr 34 16 A sur 150","Medellín","3135977","torremolinos7@gmail.com"
"890940079","UNIDAD RESIDENCIAL LAS BRUJAS P.H","Persona Jurídica","CL 37 B SUR 28 C 01","Envigado","4795608","unidadresidenciallasbrujas@gmail.com"
"890940114","EDIFICIO ALTOS DE SAN LUCAS P.H.","Persona Jurídica","CL 20 SUR 26 C 66","Medellín","3212401","tesoreria@admonyasesorias.com"
"890943134","LUKAS HOTEL Y CIA SAS","Persona Jurídica","CR 70 44 A 28","Medellín","3627360","hotellukas70@gmail.com"
"900003344","EDIFICIO JARDINES DE PERU","Persona Jurídica","Cl 55 41 44","Medellín","1234567","edificiojardinesdeperuph@hotmail.com"
"900010147","CONJUNTO RESIDENCIAL PONTEVEDRA ETAPA 1 P.H.","Persona Jurídica","CR 42 B 25 A SUR 41","Envigado","3335590","comprascrismatt@gmail.com"
"900010822","CONJUNTO RESIDENCIAL BOSQUES DE LA CASCADA PH","Persona Jurídica","Cr 32 6 Sur 45","Medellín","5709411","bdbosquesdelacascada@gmail.com"
"900011430","RECUPERADORA INDUSTRIAL REINDEX LTDA EXEDENTES & R","Persona Jurídica","CLLE 41A SUR No.43A-82 P5","Envigado","3312164",
"900029538","HOTEL ANVAMAR S.A.S.","Persona Jurídica","CR 21 14 20","Pereira","3449901",
"900054741","HOTEL CASTILLA DE ORO","Persona Jurídica","CL 100 CR 14 14 07","Medellín","8272185",
"900055955","UNIDAD AZALEA DEL PARQUE P.H.","Persona Jurídica","CR 87 A 32 81","Medellín","3471522","azaleadelparque@hotmail.com"
"900061612","SANTANILLA DE INVERSIONES S.A.S.","Persona Jurídica","AV 4 9 77","Palmira","6618045",
"900062114","GRUPO LEMON S.A.","Persona Jurídica","CL 51 S 48 81 LOC 2189","Sabaneta","3770180",
"900064345","HOTEL SANTA ANA MEDELLIN S.A.","Persona Jurídica","CL 15 SUR 48 34","Medellín","3140707",
"900065317","CONJUNTO RESIDENCIAL SANTOS P.H.","Persona Jurídica","CL 7 B 27 95","Medellín","2344367","edificiosantosph@gmail.com"
"900075297","HOTEL GUATATUR E.U","Persona Jurídica","CL 31 31 04","Guatape","2728280",
"900078511","URBANIZACION TORRES DE SANTA CECILIA PH","Persona Jurídica","CL 20 ASUR 22 84","Medellín","4484173","bdstcecilia@gmail.com"
"900092792","URBANIZACION PARQUE RESIDENCIA","Persona Jurídica","KM 12 CARRETERA LAS PALMAS","Medellín","3172979",
"900115975","EDIFICIO PALMAR DEL VALLE P-H","Persona Jurídica","DG 75 B 32 A 196","Medellín","4121590","humbertof49@hotmail.com"
"900116998","VILLA DEL CARMELO","Persona Jurídica","CR 51 51 37","Medellín","2750676",
"900118838","RUTA DEL SOL II S.A.","Persona Jurídica","PUENTE LAUREANO","Ciénaga","1234567",
"900120384","UNIDAD RESIDENCIAL TORREON DE CASTROPOL PH","Persona Jurídica","CR 41 14 27","Medellín","3214653219","edificiotorreondecastropol@gmail.com"
"900128089","URBANIZACION PUENTE MADERO","Persona Jurídica","Cl 5 A 35 87","Medellín","1234567","tesoreria@admonyasesorias.com"
"900129842","CONJUNTO RESIDENCIAL PALO VERDE","Persona Jurídica","Cl 39 Sur 25C 89","Medellín","3346200",
"900145475","INVERSIONES ESCOBAR RUIZ Y CIA S EN CS","Persona Jurídica","CENTRO COMERCIAL MAYORCA BURBUJA 360","Sabaneta","3779329",
"900146310","EDIFICIO OCARINAS P.H","Persona Jurídica","CR 65 C C CL 31 34","Medellín","2358559","admon.edificiocarinas@gmail.com"
"900147743","CONSTRUCCIONES TORRE LA VEGA DEL SUR SAS","Persona Jurídica","DG 32 32A SUR 25 OF 101","Envigado","3325366",
"900148385","EDIFICIO ATLANTIC","Persona Jurídica","CR 25 9B SUR 197","Medellín","3524873","cartera@docaph.com"
"900149480","INVERSIONES MONTOYA PINEDA S.A.","Persona Jurídica","AUT. NORTE KM 20  GIRARDOTA","Girardota","2745759",
"900155524","URBANIZACION BIZET 1 P.H.","Persona Jurídica","CL 9 72 50","Medellín","3004475295",
"900155740","PROMOTORA SAN SEBASTIAN DE LA LOMA S.A.","Persona Jurídica","CR 36 8A 109 OF 201","Medellín","3113366",
"900163370","URBANIZACION MONTEPINAR P.H","Persona Jurídica","CL 38 B SUR 26 01","Envigado","5966166","facturacion@administracionmgm.com"
"900166209","CONJUNTO RESIDENCIAL PUERTO MONTT PROPIEDAD HORIZONTAL","Persona Jurídica","CR 50 A CL 76 SUR 111 IN 1","Medellín","5706553","unidadespuertomontt@gmail.com"
"900169032","EDIFICIO BLUX PH","Persona Jurídica","cl 12 30 126","Medellín","4480786","tesoreria@admonyasesorias.com"
"900172266","HOTEL SAUCES DEL ESTADIO LTDA","Persona Jurídica","CR 69 49 A 30","Medellín","2607474",
"900174563","SYNERGEX LOGISTICS S.A","Persona Jurídica","CL 106 15 25 BODEGA","Bogotá","7430100",
"900242043","SOLARIS APARTAMENTOS P.H.","","","","",
"900200998","CONJUNTO RESIDENCIAL ESCARLATA PH","Persona Jurídica","Cr, 27 38 Sur 10","Medellín","3346696","escarlata.ph@gmail.com"
"900201480","URBANIZACION RESERVA DE LA MARIA 1- ETAPA 1 P.H","Persona Jurídica","CR 46 22 SUR 50","Envigado","2704341","reservadelamaria1@gmail.com"
"900201890","CONJUNTO RESIDENCIAL RESERVA DE SAN DIEGO","Persona Jurídica","Cr 28 29 85","Medellín","2274901",
"900220951","HOTEL PLAZA 43","Persona Jurídica","CL 43 44 147","Barranquilla","3702554",
"900248438","CONJUNTO RESIDENCIAL ATAVANZA ETAPAS I Y II - P.H","Persona Jurídica","CR 82 9 A SUR 28","Medellín","3041081061","conjunto.residencial.atavanza@gmail.com"
"900255186","PARCELACION LA BOTERO ALTA","Persona Jurídica","Vía Puente Iglesias - Támesis KM 1","Medellín","3122867043",
"900267269","EDIFICIO SALAMANCA PH","Persona Jurídica","cl 27ASUR 25 48","Envigado","3017355134","pqrssalamanca@gmail.com"
"900272993","CONJUNTO RESIDENCIAL KANDALA P.H.","Persona Jurídica","CR 42 60 SUR 15","Sabaneta","5709393","kandalaph@hotmail.com"
"900278226","HOTELES VIA SAN DIEGO SAS","Persona Jurídica","CL 31 43 90","Medellín","4449002",
"900281335","ALTERNATIVAS VERTICALES SAS","Persona Jurídica","Cr. 48 10 45","Medellín","8861111",
"900291903","PARCELACION ENTREBOSQUES DE SAN SEBASTIAN","Persona Jurídica","VDA CARRIZALES","Medellín","6043223095","auxiliar@conbienesurbanistica.com"
"900302232","URBANIZACION GUAYACAN DE LA CALERA","Persona Jurídica","Cl 6 A 16 45","Medellín","3683768",
"900302237","URBANIZACION ARRAYANES DE LA CALERA PH","Persona Jurídica","Cl 6 A 16 15","Medellín","3683779","tesoreria@admonyasesorias.com"
"900314606","CONJUNTO RESIDENCIAL SALTAMONTE P.H","Persona Jurídica","CR 27 G CL 35 SUR 175","Envigado","2355690","admonsaltamonte@gmail.com"
"900316657","REPRESENTACIONES RAMIREZ Y MARIN S,A,S,","Persona Jurídica","CL 16 A SUR 29B 20 CA 146","Medellín","2689028",
"900326827","URBANIZACION ESTAMBUL","Persona Jurídica","CL 2B 81 A380","Medellín","1234567",
"900328935","INVERSIONES CASTAÑO S.A.S.","Persona Jurídica","CR 45 74 SUR 67","Sabaneta","3065864",
"900367849","HOTEL SALOMA","Persona Jurídica","CLL 26 38 69 B","Villavicencio","6682341",
"900371703","CORDOBA ARANGO ADMINISTRACIONES S.A.S.","Persona Jurídica","CR 25 9 A SUR 176 AP 501","Medellín","4484173","cordobaarangopagos@gmail.com"
"900375992","CONSTRUCTORA AVELLANAS SAS","Persona Jurídica","CARRERA 46 7 103","Medellín","3115676",
"900381103","S.S. PALMA DE MAYORCA","Persona Jurídica","KM2 VIA TURBO","Necoclí","1234567",
"900390727","CONSTRUCTORA ARES","Persona Jurídica","Carrera 46 No. 7 - 103","Medellín","3115676","auxiliar.administrativa@dysam.com.co"
"900396433","EDIFICIO MOLIERE P.H.","Persona Jurídica","CL 14 SUR 43 A 147","Medellín","4483149","compras@abelardoyepes.com"
"900397244","CONSTRUCTORA ALTOS DE LA ABADIA S.A.S.","Persona Jurídica","CL 17 A SUR 44 214","Medellín","4486800","vcontabilidad@verticeing.com"
"900398709","CONSTRUCTORA SURAMERICA SAS","Persona Jurídica","CR 43A 15 SUR 15","Medellín","4485354","almacen2.jardinesdelsur@gmail.com"
"900421826","HOTEL ORQUIDEA REAL NEWS S.A.S.","Persona Jurídica","CR 5 4 41 BR  CENTRO","San Vicente del Caguán","4645813",
"900428139","CONJUNTO RESIDENCIAL PALMAS DE SAN PABLO  P.H","Persona Jurídica","Calle 32 32 16","Medellín","3183165786","ed.palmasdes.ph@gmail.com"
"900428158","U.R JARDINES DE LA PLAZA","Persona Jurídica","Cr 41 49 52","Medellín","5707968",
"900430090","EDIFICIO MARAT","Persona Jurídica","Cl 72 Sur 34 119","Medellín","4174277","edificiomarat@yahoo.com"
"900437565","INVERSIONES CARLOS FERNANDO EL CALEÑO S.A.S","Persona Jurídica","CL 33 65B 10","Medellín","3162298",
"900448282","UNIDAD JARDINES PROPIEDAD HORIZONTAL","Persona Jurídica","CL 44 C 91 54","Medellín","5789500","unidadjardines@gmail.com"
"900458145","HOTEL DON ALFONSO S.A.S","Persona Jurídica","CR 13 12 37 SAN JOSE SUR","Pereira","3330909",
"900460182","EDIFICIO TORRE SION PH","Persona Jurídica","Cr 86 45B 40","Medellín","3207721660",
"900469931","INVERSIONES REIMORAN S.A.S","Persona Jurídica","CRA 47 84-56","Barranquilla","3857947",
"900472776","INVERSIONES EL CONRO S.A.S","Persona Jurídica","CR 53 49 47","Medellín","5126535",
"900474965","GRUPO EMPRESARIAL MLS S.A.S.","Persona Jurídica","CR 75 40 35","Medellín","4090240",
"900480181","UNIDAD RESIDENCIAL CRISTALES DE ZUÑIGA P.H","Persona Jurídica","CR 46 22 A SUR 37","Envigado","3027750","admoncristalesdezuniga@gmail.com"
"900480554","CONJUNTO RESIDENCIAL CAMINO DE LAS AGUAS P.H.","Persona Jurídica","CL 39 D SUR CR 24 D 12","Envigado","5788475","caminodelasaguas@hotmail.com"
"900493077","CONJUNTO RESIDENCIAL CIUDADELA DEL VALLE","Persona Jurídica","CR 59 70 349","Itagüí","4187136","proveedoresciudadela@gmail.com"
"900493419","AREA DIEZ TIENDA INMOBILIARIA SABANETA SAS","Persona Jurídica","Cl 67 Sur 43 C 38","Medellín","4487999",
"900503347","URBANIZACION TORRES DEL CAMPO","Persona Jurídica","CR 52 B 37 05","Rionegro","3105154409","torresdelcampoph@gmail.com"
"900556545","PROMOTORA TIERRA GRATA SAS","Persona Jurídica","CL 27 SUR 27 92","Medellín","1234567",
"900556626","EDIFICIO NATUZZI LIVING PH","Persona Jurídica","CL 17A SUR 44 70","Medellín","4486744","nandog08@gmail.com"
"900557858","INVERSIONES STA FE GROUP S.A.S","Persona Jurídica","CL 13 7 163","Santafé de Antioquia","8533646",
"900559296","CONJUNTO RESIDENCIAL BALTICO P.H.","Persona Jurídica","CR 27 CL 36 SUR 159","Envigado","4185688","facturacion@administracionmgm.com"
"900564896","PARCELACION VEGAS DE PORCE","Persona Jurídica","PORCE","Medellín","1234567",
"900574702","CONSTRUCCION URBANA S.A.S","Persona Jurídica","CL 11 A SUR 44 143","Medellín","5897959","vilanovadireccion@gmail.com"
"900576538","CONJUNTO RESIDENCIAL LAURELEN - PROPIEDAD HORIZONTAL","Persona Jurídica","CR 43 73 51","Medellín","5048406","crlaurelen@gmail.com"
"900582114","EDIFICIO LOS PARRA PROPIEDAD HORIZONTAL","Persona Jurídica","CL 1 29 330","Medellín","3013939702","edificiolosparrasph@gmail.com"
"900585137","INVERSIONES ARIAS SERNA S.A.S","Persona Jurídica","AUTOPISTA MEDELLIN BOGOTA","Medellín","5514171",
"900585434","INVERSIONES ARIAS SERNA S.A.S","Persona Jurídica","KM 20 AUTOPISTA MED-GTA VDA EL SANGO","Guarne","5514171",
"900609584","CENTRO INDUSTRIAL PUERTA DEL SUR P.H.","Persona Jurídica","CL 98 SUR 48 225","Medellín","4116645","aguilarantonio248@gmail.com"
"900628755","EDIFICIO ALTOS DE SAN MIGUEL PH","Persona Jurídica","CL 77C SUE 44 10","Medellín","3007908910","administracionph@areadiez.co"
"900642010","URBANIZACION IBERICA VITAL","Persona Jurídica","Cl 27 27 55","Medellín","5702367",
"900642312","MAXORATA SAS","Persona Jurídica","CR 70 44B 38","Medellín","2604900",
"900643828","GRUPO HOTELERO EL MIRADOR S.A.S","Persona Jurídica","CR 27 32 73","Arboletes","8200441",
"900651430","EDIFICIO MENTA PROPIEDAD HORIZONTAL","Persona Jurídica","CL 13SUR 37B 50","Medellín","4484173","cordobaarangoasistente@gmail.com"
"900654889","EDIFICIO BALCONES DE LA HOLANDA P. H.","Persona Jurídica","CL 80 SUR 47 C 61","Medellín","3226468723","balconesdlaholanda@gmail.com"
"900664886","CONJUNTO RESIDENCIAL TIERRA GRATA PALMAS PROPIEDAD HORIZONTAL","Persona Jurídica","CR 51 C 13 A 79","Rionegro","3667253","tesoreria@caaph.co"
"900665649","INVERSIONES GOMEZ ROJAS S.A.S","Persona Jurídica","CL 50 A 39 62","Medellín","4488214",
"900673552","HSEQ DEL GOLFO S.A.S","Persona Jurídica","CL 100 99 A 2 BARRIO CHINITA","Palmira","8280576",
"900683868","APARTAMENTOS SERRANA PH","Persona Jurídica","Cl 61 Sur 43 A 32","Medellín","5970705",
"900684427","HOTELES ARAWAK DE COLOMBIA S.A.S","Persona Jurídica","CL 32 29-32","Sincelejo","2804817",
"900685554","MARINELA COLONIAL S.A.S","Persona Jurídica","CL 42 KM A VIA PALMIRA","Palmira","2724010",
"900686005","URBANIZACIÓN LA QUINTA PROPIEDAD HORIZONTAL","Persona Jurídica","AV 18 CR 18 BRR LLANO DE BOLIVAR SEC LOS TANQUES","Santafé de Antioquia","3183165786","urbanizacionlaquinta.ph@gmail.com"
"900688908","GO GROUP INVERSIONES SAS","Persona Jurídica","CALLE 125","Medellín","1234567",
"900689335","CONDOMINIO PRADOS DE ZUÑIGA P.H.","Persona Jurídica","CL 20 SUR 45 40","Envigado","4083183","condominiopradosph@gmail.com"
"900717982","CONJUNTO RESIDENCIAL MATTIZ P.H","Persona Jurídica","Cr 45 77 Sur 170","Medellín","3012636","conjunto_residencial.mattiz@hotmail.com"
"900719377","UNIDAD RESIDENCIAL TOULOUSE - PROPIEDAD HORIZONTAL","Persona Jurídica","Cl 14 40 A 75","Medellín","5700256","tesoreria@admonyasesorias.com"
"900720930","MODULARES Y MONTAJES GARCES S.A.S","Persona Jurídica","CR 52 N, 13A SUR 75","Medellín","2853110",
"900730953","URBANIZACION SAINT PIERRE PH","Persona Jurídica","Cr 29E 11 Sur 110","Medellín","4480786","tesoreria@admonyasesorias.com"
"900730967","URBANIZACION SAINT MARTEEN PH","Persona Jurídica","Cr 29 E 11 Sur 50","Medellín","4480786","saintmarteen.admon@gmail.com"
"900733467","CONJUNTO RESIDENCIAL ALTOS DE LOS ALMENDROS P.H.","Persona Jurídica","CL 48 F SUR 39 B 314","Envigado","5797234","craalmendros@gmail.com"
"900736616","UNIDAD RESIDENCIAL AREKA P.H.","Persona Jurídica","CL 27 SUR 27 B 87","Envigado","4483149","ryepes@abelardoyepes.com"
"900738981","INVERSIONES CAS DIGITAL S.A.S","Persona Jurídica","CRA 43A 1A SUR 69 LC 1","Medellín","1234567",
"900746048","INVERSIONES RESTAURANTE DIMAR DE COLOMBIA","Persona Jurídica","CENTRO CIAL CALIMA LC R08","Bogotá","1234567",
"900761943","EDIFICIO AMBAR","Persona Jurídica","CL 32 A SUR 28 21","Medellín","3335594",
"900778057","URBANIZACION Q - PROPIEDAD HORIZONTAL","Persona Jurídica","CL 18ASUR 25C 25","Medellín","5810122","urbanizacionqtower@gmail.com"
"900779033","CONJUNTO RESIDENCIAL ATALAYA DE SAN JORGE P.H","Persona Jurídica","CL 37 B SUR 27 B 81CL 37 B SUR 27 B 81","Envigado","5707547","grupoochoproveedores@gmail.com"
"900780143","EDIFICIO POSITANO","Persona Jurídica","CL 24SUR 27B 69","Medellín","3325208","alianzaph2015@gmail.com"
"900792093","CONJUNTO RESIDENCIAL NATIVO FLORA P.H.","Persona Jurídica","CR 27 A A 36 SUR 151","Envigado","4998363","tesoreria@caaph.co"
"900792136","URBANIZACION GREEN ECOLIVING","Persona Jurídica","CR 30 16 A SUR 116","Medellín","4483468","caja@unidadesurbanas.com"
"900797554","URBANIZACIÓN ARAMUS P.H.","Persona Jurídica","CL 75 SUR 34 240","Sabaneta","2888163","aramusadmon@gmail.com"
"900815105","UNIDAD RESIDENCIAL EL CARMELO PROPIEDAD HORIZONTAL","Persona Jurídica","CL 20 25 51","La Ceja","3136464","tesoreria@caaph.co"
"900822591","METALMECANICA MARANATHA S.A.S","Persona Jurídica","CL 29 58 10","Medellín","3160902",
"900822639","EDIFICIO BELLAGIO","Persona Jurídica","Cr 16 12 Sur 65","Medellín","3135186594","tesoreria@caap.co"
"900839905","CONJUNTO RESIDENCIAL ALTOBELO","Persona Jurídica","Cr 59 B 51 58","Medellín","5706318",
"900860652","CONJUNTO RESIDENCIAL PALMERAS ETAPA 2 PH","Persona Jurídica","CR 24B No 40A sur 52","Medellín","5781179","info@enlacejuridicointegral.com"
"900861039","CONDOMINIO CAMPESTRE SOTO DEL ESTE P.H.","Persona Jurídica","VDA PANTANILLO KM 2","Retiro","5413853","parcelacionsotodeleste@gmail.com"
"900866992","PACTIA SAS","Persona Jurídica","CR 43A 18 sur 135 P4","Medellín","4025700",
"900869979","EDIFICIO OPERA P.H.","Persona Jurídica","CR 42 B 23 A SUR 84","Envigado","5772860","compras@abelardoyepes.com"
"900872119","RESTAURANTE Y CONCETRADOS DON LALO S.A","Persona Jurídica","TV 6  8 18","Venecia","8449035",
"900873967","FIJACIONES Y ANCLAJES MEDELLIN S.A.S","Persona Jurídica","CL 43 69 62","Medellín","2603054",
"900874953","GRUAS FERNANDEZ SAS","Persona Jurídica","CR 59 70 349 TO 4 AP 1124","Itagüí","4186001",
"900875907","PROMOTORA DE FERRETERIAS DEL MUEBLE S.A.S","Persona Jurídica","CR 45 32D 135 IN 105","Bello","4449190",
"900879901","EDIFICIO FIJI PH","Persona Jurídica","CR 41 No. 24 sur 05","Envigado","4442420","contabilidad@administracionm.co"
"900924495","SANIGEO - SERVICIOS AMBIENTALES SAS","Persona Jurídica","CR 85d N 53 25 OF 1101","Medellín","5810502",
"900931134","INVERSIONES FERROCARRIL DE ANTIOQUIA S.A.S.","Persona Jurídica","CRA 57 CL 44A-33","Medellín","2316162",
"900943243","SURAMERICA COMERCIAL S.A.S.","Persona Jurídica","CRA 1 37-36 CALLE 37","Cali","1234567",
"900943498","INVERSIONES ALZATE GONZALEZ S.A.S","Persona Jurídica","CR 52D 75A A SUR 280","Itagüí","1234567",
"900944872","EDIFICIO ZAGUAN DE MANILA PROPIEDAD HORIZONTAL","Persona Jurídica","CL 13 43D79","Medellín","3117850","comprascrismatt@gmail.com"
"900957214","URBANIZACIÓN STANZA - PROPIEDAD HORIZONTAL","Persona Jurídica","CL 32 5 G 70","Medellín","3136464","cordobaarangoasistente@gmail.com"
"900958438","HOTEL BOUTIQUE CASA COLONIAL S.A.S.","Persona Jurídica","CR 59 72 129","Barranquilla","3013771",
"900967143","URBANIZACION ZARZAMORA P.H","Persona Jurídica","CR 27 23 SUR 69","Medellín","3212201","cordobaarangoasistente@gmail.com"
